"","Year","Operational.Demand..MW.","Index"
"757",2018,2706.964,757
"758",2018,2706.768,758
"759",2018,2706.75,759
"760",2018,2706.744,760
"761",2018,2706.642,761
"762",2018,2706.402,762
"763",2018,2705.83,763
"764",2018,2705.174,764
"765",2018,2705.16,765
"766",2018,2705.094,766
"767",2018,2704.726,767
"768",2018,2704.6,768
"769",2018,2704.282,769
"770",2018,2704.26,770
"771",2018,2703.132,771
"772",2018,2703.036,772
"773",2018,2702.588,773
"774",2018,2701.498,774
"775",2018,2701.074,775
"776",2018,2701.07,776
"777",2018,2700.432,777
"778",2018,2700.1,778
"779",2018,2699.528,779
"780",2018,2699.476,780
"781",2018,2699.244,781
"782",2018,2699.116,782
"783",2018,2699.058,783
"784",2018,2698.88,784
"785",2018,2698.536,785
"786",2018,2698.35,786
"787",2018,2698.292,787
"788",2018,2697.878,788
"789",2018,2697.62,789
"790",2018,2697.044,790
"791",2018,2696.552,791
"792",2018,2696.468,792
"793",2018,2696.152,793
"794",2018,2695.596,794
"795",2018,2695.43,795
"796",2018,2695.138,796
"797",2018,2695.03,797
"798",2018,2694.978,798
"799",2018,2694.766,799
"800",2018,2694.542,800
"801",2018,2694.54,801
"802",2018,2694.278,802
"803",2018,2694.24,803
"804",2018,2693.94,804
"805",2018,2693.896,805
"806",2018,2693.87,806
"807",2018,2692.832,807
"808",2018,2692.768,808
"809",2018,2692.614,809
"810",2018,2692.536,810
"811",2018,2692.208,811
"812",2018,2691.936,812
"813",2018,2691.876,813
"814",2018,2691.624,814
"815",2018,2691.356,815
"816",2018,2691.302,816
"817",2018,2691.182,817
"818",2018,2691.018,818
"819",2018,2690.992,819
"820",2018,2690.71,820
"821",2018,2690.67,821
"822",2018,2690.428,822
"823",2018,2689.898,823
"824",2018,2689.702,824
"825",2018,2689.68,825
"826",2018,2689.632,826
"827",2018,2689.52,827
"828",2018,2689.016,828
"829",2018,2688.226,829
"830",2018,2687.948,830
"831",2018,2687.592,831
"832",2018,2687.58,832
"833",2018,2687.408,833
"834",2018,2687.304,834
"835",2018,2687.18,835
"836",2018,2687.054,836
"837",2018,2686.934,837
"838",2018,2686.878,838
"839",2018,2686.79,839
"840",2018,2686.662,840
"841",2018,2686.038,841
"842",2018,2685.906,842
"843",2018,2685.882,843
"844",2018,2685.536,844
"845",2018,2685.208,845
"846",2018,2684.942,846
"847",2018,2684.9,847
"848",2018,2684.792,848
"849",2018,2684.136,849
"850",2018,2684.128,850
"851",2018,2683.786,851
"852",2018,2683.642,852
"853",2018,2683.63,853
"854",2018,2683.424,854
"855",2018,2683.178,855
"856",2018,2683.16,856
"857",2018,2682.718,857
"858",2018,2682.558,858
"859",2018,2682.074,859
"860",2018,2681.866,860
"861",2018,2681.592,861
"862",2018,2681.524,862
"863",2018,2681.212,863
"864",2018,2681.184,864
"865",2018,2681.158,865
"866",2018,2681.034,866
"867",2018,2680.912,867
"868",2018,2680.882,868
"869",2018,2680.774,869
"870",2018,2680.43,870
"871",2018,2680.21,871
"872",2018,2680.194,872
"873",2018,2679.71,873
"874",2018,2679.54,874
"875",2018,2679.23,875
"876",2018,2679.146,876
"877",2018,2678.658,877
"878",2018,2678.174,878
"879",2018,2677.66,879
"880",2018,2677.492,880
"881",2018,2677.26,881
"882",2018,2677.03,882
"883",2018,2676.634,883
"884",2018,2676.292,884
"885",2018,2676.242,885
"886",2018,2675.91,886
