DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,2296.703,0,223.199,54.96,110,110,20931.306
2023-09-29T08:00:00Z,2474.888,0,255.756,49.75,110.002,110.001,20916.755
2023-09-29T08:00:00Z,2614.354,0,227.388,45.891,110.001,110,20919.796
2023-09-29T08:00:00Z,2692.046,0,245.154,45.182,110.001,110,20917.909
2023-09-29T08:00:00Z,2670.782,0,246.194,43.923,110,110,20920.917
2023-09-29T08:00:00Z,2572.994,0,237.563,46.33,110,110,20920.917
2023-09-29T08:00:00Z,2501.113,0,237.677,46.837,110,110,20934.48
2023-09-29T08:00:00Z,2425.528,0,237.76,47.47,110.002,110,20919.674
2023-09-29T08:00:00Z,2334.555,0,276.92,49.641,64.999,65,20933.059
2023-09-29T08:00:00Z,2231.629,0,274.693,54.228,65.001,65,20925.083
2023-09-29T08:00:00Z,2128.56,0,283.938,58.82,65,65,20424.476
2023-09-29T08:00:00Z,2033.529,0,284.015,62.132,65.001,65,20444.11
2023-09-29T08:00:00Z,1953.307,0,299.398,64.927,65,65,19454.493
2023-09-29T08:00:00Z,1889.432,0,280.017,67.153,65,65,19445.709
2023-09-29T08:00:00Z,1837.022,0,221.2,68.98,65,65,19449.211
2023-09-29T08:00:00Z,1788.882,0,182.415,69.657,65.001,65,18199.507
2023-09-29T08:00:00Z,1754.747,0,151.796,70.847,65,65,18204.512
2023-09-29T08:00:00Z,1734.369,0,153.376,72.557,65.001,65,18215.782
2023-09-29T08:00:00Z,1722.148,0,152.882,71.983,65,65.001,18205.83
2023-09-29T08:00:00Z,1714.719,0,152.174,71.242,65,65,18194.94
2023-09-29T08:00:00Z,1715.185,0,150.247,69.226,65,65,18204.243
2023-09-29T08:00:00Z,1723.041,0,150.94,69.952,65,65,18215.058
2023-09-29T08:00:00Z,1742.678,0,155.768,72.268,65.001,65.001,18226.367
2023-09-29T08:00:00Z,1784.172,0,180.545,72.822,64.999,65,18230.636
2023-09-29T08:00:00Z,1849.021,0,219.543,71.562,64.999,65,19238.556
2023-09-29T08:00:00Z,1932.503,0,301.743,68.652,64.999,65,19484.958
2023-09-29T08:00:00Z,2018.439,0,276.168,66.657,109.999,110,20477.817
2023-09-29T08:00:00Z,2039.453,0,276.243,67.925,110,110,20494.781
2023-09-29T08:00:00Z,1988.105,0,288.928,67.715,110,110,19503.975
2023-09-29T08:00:00Z,1897.305,0,186.037,69.879,110.001,110,19530.287
2023-09-29T08:00:00Z,1739.905,0,154.45,73.364,109.999,110,18243.988
2023-09-29T08:00:00Z,1593.741,0,168.017,76.458,110,110,17003.543
2023-09-29T08:00:00Z,1502.262,0,167.894,78.646,110,110,16999.732
2023-09-29T08:00:00Z,1411.115,0,167.786,82.823,110,110,16990.383
2023-09-29T08:00:00Z,1297.18,0,167.677,87.793,109.999,110,16996.029
2023-09-29T08:00:00Z,1221.984,0,167.55,90.414,109.999,110,16994.265
2023-09-29T08:00:00Z,1236.565,0,168.101,89.906,109.999,110,16744.261
2023-09-29T08:00:00Z,1190.933,0,169.353,91.496,110.001,110,16249.734
2023-09-29T08:00:00Z,1075.618,0,168.794,71.603,110.001,110,17005.055
